id,,,DH01,DH02,DH03,DH04,DH05,DH06,DH07,DH08,DH09,DH10,DH11,DH12,DH13,DH14,DH15,DH16,DH17,DH18,DH19,DH20,DH21,DH22,DH23,DH24,DH25,DH26,DH27,DH28,DH29,DH30,DH31,DH32,DH33,DH34,DH35,DH36,DH37,DH38,DH39,DH40,DH41,DH42,DH43,DH44,DH45,DH46,DH47,DH48,DH49,DH50,DH51,DH52,DH53,DH54,DH55,DH56,DH57,DH58,DH59,DH60,DH61,DH62,DH63,DH64,DH65,DH66,DH67,DH68,DH69,DH70,DH71,DH72,DH73,DH74,DH75,DH76,DH77,DH78,DH79,DH80,DH81,DH82,DH83,DH84,DH85,DH86,DH87,DH88,DH89,DH90,DH91,DH92,DH93
wPt.2041,1A2,72.3328,-,B,-,A,-,A,A,-,B,B,B,B,-,A,B,A,A,A,-,-,B,-,-,-,-,B,A,B,-,-,B,A,A,A,A,B,B,B,A,A,A,B,-,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,B,B,A,B,B,B,A,A,A,B,B,B,B,A,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B,B,-
wPt.3378,1A2,77.2548,A,B,B,A,A,A,A,A,B,-,B,-,A,A,-,A,A,A,A,A,-,A,A,A,A,-,A,-,B,B,A,B,A,A,A,B,-,-,A,A,A,-,A,A,A,-,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,B,B,B,A,B,-,B,A,A,A,B,B,B,-,A,A,A,A,A,-,A,A,B,A,A,A,A,A,B,-,B,-
wPt.8658,1A2,77.2548,A,B,B,A,A,A,A,A,B,A,B,-,A,A,-,A,A,A,A,A,-,A,A,A,A,A,A,A,B,B,-,B,A,A,A,B,B,-,A,A,A,B,A,A,A,-,A,B,-,B,B,A,A,A,B,B,B,-,A,B,B,B,B,B,A,B,-,B,A,A,A,B,B,B,-,A,A,A,A,A,-,A,A,B,A,A,A,A,A,B,-,B,-
P31.M56.248,1A2,87.1461,B,B,B,A,A,A,A,A,B,-,B,B,A,A,B,A,B,A,A,-,A,A,A,A,A,B,A,B,B,B,B,B,A,A,A,B,B,B,A,A,A,B,A,A,A,B,A,B,B,B,B,A,A,A,B,B,B,B,A,B,B,A,B,B,A,B,B,B,A,A,A,B,B,B,B,A,A,A,A,A,B,A,A,A,B,A,A,A,A,B,B,B,-
wg241,1A2,98.8881,B,B,B,A,A,A,A,A,B,A,B,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,-,B,B,B,B,B,A,B,A,B,-,B,A,A,B,B,A,B,A,B,B,B,B,B,B,A,A,A,B,A,B,B,A,B,B,A,B,B,A,B,B,B,A,A,A,B,B,-,A,A,A,A,A,A,B,A,A,A,-,A,A,A,A,B,B,B,B
P40.M47.43,1A2,103.6536,B,B,B,A,A,A,A,A,B,A,A,A,A,B,B,A,B,A,A,A,A,A,A,A,B,B,A,B,B,B,B,B,A,B,A,B,B,B,A,A,B,B,A,B,A,B,B,A,B,B,B,A,A,A,B,A,B,B,A,B,B,A,B,B,A,B,A,B,A,A,A,B,B,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,A,B,B,-,A
P42.M57.219,1A2,154.3712,B,B,B,A,A,A,A,A,B,A,B,A,A,A,B,A,A,A,A,A,A,A,-,A,B,B,A,B,A,B,A,A,A,A,A,B,B,B,A,A,A,A,A,A,A,B,B,B,B,A,A,A,B,B,A,B,A,A,A,A,B,B,A,A,A,B,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,A,A,A,B,A,A,A,A,B,A,B,B
P37.M48.353,1A2,189.0286,B,B,B,B,A,A,B,B,B,A,B,A,B,A,B,A,A,B,A,B,B,A,A,A,B,B,B,B,A,B,A,B,A,A,A,A,A,B,B,A,B,A,B,B,A,A,B,-,B,A,A,A,B,B,A,B,A,A,B,A,B,B,A,A,A,B,A,B,A,A,A,-,A,A,A,A,A,A,A,B,A,A,-,A,B,B,B,A,B,B,A,B,-
gwm18,1B,0,A,A,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B,A,A,A,A,A,A,A,A,A,B,A,A,A,A,A,B,B,A,B,B,A,B,B,A,B,A,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,A,B,B,B,A,B,B,A,A,A,B,A,B,B,B,A,B,B,B
gwm11,1B,27.0284,B,A,B,A,A,A,A,A,B,A,A,A,B,A,B,A,-,A,A,A,A,A,A,B,A,B,B,B,A,A,A,B,B,B,A,B,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,A,B,A,B,B,-,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A
P40.M54.358,1B,56.1857,B,A,B,A,A,A,A,B,A,A,A,B,A,B,B,B,B,A,A,A,A,-,B,A,B,B,B,A,A,A,B,B,B,A,B,B,A,-,B,A,A,B,A,B,A,A,-,A,A,A,A,A,B,A,-,A,A,A,B,A,A,B,A,B,A,B,A,A,A,B,A,B,B,B,A,A,B,A,A,A,A,A,B,B,B,A,B,B,A,A,A,A,-
bcd338,1B,58.6553,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,B,A,A,A,A,A,B,A,B,B,B,A,A,A,B,B,B,A,B,B,-,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,-,B,A,B,A,B,-,A,A,B,A,B,B,B,A,A,B,-,A,A,A,A,B,B,B,-,B,B,A,A,A,A,A
P37.M48.217,1B,65.9855,B,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B,B,A,A,A,A,A,B,A,B,B,B,A,A,A,B,B,B,A,B,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,A,A,A,B,A,A,A,B,A,A,A,B,A,B,B,B,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,B,B,B
psr931a,1B,73.1405,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,B,A,A,A,A,A,B,A,B,B,-,A,A,A,B,B,B,A,B,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,A,B,A,B,A,B,A,A,A,B,A,B,B,-,A,A,B,-,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A
wPt.3457,1B,76.6714,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,B,B,A,B,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,A,B,A,B,A,A,A,B,A,B,B,A,A,A,B,B,A,A,A,A,B,B,B,A,B,-,A,A,A,A,-
wPt.8657,1B,76.6714,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,B,B,A,B,B,A,B,B,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,A,B,A,B,A,A,A,B,A,B,B,A,A,A,-,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,-
wPt.7030,1B,77.9535,B,A,B,-,A,-,-,B,A,-,A,B,A,B,A,-,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,-,-,A,B,B,A,B,-,A,B,B,A,B,A,A,A,-,A,A,-,A,B,A,-,A,A,A,B,A,B,B,A,-,A,B,A,A,A,B,A,B,B,A,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,A,B,-
wPt.2786,1B,77.9535,B,-,B,A,A,-,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,B,-,A,B,B,A,B,A,A,B,B,A,B,A,A,A,A,A,A,A,A,-,A,B,A,A,A,B,A,B,B,A,-,A,B,A,A,A,B,A,B,B,A,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,A,B,-
gwm413,1B,86.9521,B,A,B,A,A,A,A,B,A,A,A,-,A,B,A,-,A,A,A,A,A,A,B,A,A,B,B,A,A,A,A,B,B,A,A,A,A,A,B,A,B,B,A,B,A,A,A,A,A,A,A,A,A,A,B,A,A,A,B,A,B,B,A,B,A,B,A,A,A,B,A,A,B,A,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A
P34.M58.126,1B,96.0682,B,-,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,B,B,A,-,A,A,-,-,A,A,A,A,B,A,-,A,A,A,B,A,B,B,A,B,A,B,A,B,A,B,A,B,B,A,A,A,B,B,A,A,A,A,B,B,B,A,B,B,A,A,A,-,-
barc8,1B,97.5176,-,-,-,A,A,A,A,B,A,A,A,B,-,-,-,B,A,A,A,A,A,A,B,B,-,-,-,A,A,A,A,B,B,A,B,A,A,B,B,A,-,B,A,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,B,B,B,A,B,A,B,A,B,A,B,-,B,B,A,A,A,-,-,A,A,A,A,-,-,B,A,B,B,-,-,A,-,-
wPt.2838,1B,100.5955,B,A,-,A,A,A,A,-,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,-,B,-,B,A,A,A,A,-,A,A,B,A,A,B,-,-,B,B,A,B,A,A,A,A,A,A,A,A,B,A,-,A,A,A,B,A,B,B,A,B,A,B,A,B,-,B,A,B,B,A,A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,B,-
Clone117500,1B,101.8456,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,-,B,B,B,B,A,A,A,A,B,-,A,B,A,A,B,-,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,B,A,A,A,B,A,B,B,A,B,A,B,A,B,A,B,A,B,B,A,A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,-
wPt.2360,1B,101.8456,B,A,B,-,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,A,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,-,A,B,B,A,B,A,A,A,A,A,A,A,A,B,A,-,A,A,A,B,A,B,B,A,B,A,B,A,B,A,B,A,B,B,A,A,A,A,B,A,A,A,A,B,B,B,A,B,B,A,A,A,A,-
wmc406,1B,103.0221,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,-,A,A,A,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,B,B,A,B,A,A,A,A,A,B,A,A,B,A,B,A,A,A,B,A,B,B,A,B,A,B,A,B,A,B,A,B,B,A,-,A,A,-,A,A,A,A,B,B,B,A,B,B,A,A,A,A,A
gwm374,1B,108.3844,B,A,B,A,A,A,A,B,A,A,-,B,-,-,A,-,A,A,-,A,A,-,B,B,B,-,B,-,A,A,A,B,B,-,B,-,A,-,B,A,A,B,A,B,-,-,-,-,A,B,-,A,B,A,-,A,-,-,B,-,-,B,-,B,A,B,A,B,-,-,-,-,B,B,B,A,A,B,A,B,-,A,-,-,B,A,B,B,-,A,A,-,-
P37.M48.136,1B,110.0512,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,A,B,A,B,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,B,B,B
P34.M50.124,1B,113.4616,B,A,B,A,A,A,A,B,A,B,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,A,-,A,B,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,-
P39.M50.242,1B,114.5728,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,A,B,A,B,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,-
wPt.4796,1B,114.5728,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,B,-,A,B,A,A,B,B,A,A,B,-,B,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,-
wPt.7437,1B,114.5728,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,-,B,B,B,B,B,B,A,A,-,A,B,B,A,B,A,A,-,B,A,A,B,A,B,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,A,-,A,B,A,A,B,B,B,-,B,B,A,A,A,A,-
P40.M48.200,1B,114.5728,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,A,B,A,B,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,A
P46.M50.96,1B,114.5728,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,A,B,A,B,A,A,A,B,A,B,A,A,B,A,B,A,B,A,B,A,B,B,A,B,A,B,A,B,B,B,A,B,B,B,B,A,A,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,A
P40.M56.75,1B,119.1214,B,A,B,A,A,A,A,B,A,A,A,B,A,B,A,B,A,A,A,A,A,B,B,B,B,B,B,A,A,A,A,B,B,A,B,A,A,B,B,A,B,B,A,B,A,A,A,B,A,B,A,A,A,A,B,A,B,A,B,A,B,B,A,B,B,B,A,B,B,B,A,B,B,B,B,A,B,B,A,B,A,A,B,B,B,A,B,B,A,A,A,A,-
P39.M47.204,1B,163.0073,B,A,B,A,-,A,-,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,B,B,B,B,A,B,A,B,B,B,A,B,B,A,B,A,A,B,B,A,A,A,B,A,A,B,A,A,B,A,A,B,B,A,B,A,A,A,B,A,A,A,B,A,A,B,B,A,B,B,B,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,A,B,-,A
bcd808A,1B,170.1623,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,B,A,B,A,A,B,B,A,A,A,B,A,A,B,A,A,B,A,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,B,B,A,B,B,B,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,B,A,A,A
P31.M60.286,1B,171.2859,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,B,A,B,A,A,B,B,A,A,A,B,-,A,B,A,A,B,A,A,B,A,A,B,A,A,A,B,A,A,-,B,A,A,B,B,A,B,B,B,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,B,A,B,-
P39.M50.98,1B,171.2859,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,B,A,B,A,A,B,B,A,A,A,B,A,A,B,A,A,B,A,A,B,A,A,B,A,A,A,B,A,A,A,B,A,A,B,B,A,B,B,B,A,B,B,A,A,A,A,A,B,B,B,A,B,B,A,B,A,B,-
gwm403,1B,189.4312,B,A,B,A,B,A,A,A,A,A,A,B,A,B,B,B,A,A,A,A,A,A,B,A,B,B,B,A,A,B,B,B,B,A,B,B,A,B,A,A,B,B,B,A,A,B,A,A,B,A,A,B,A,A,B,A,A,B,A,A,A,B,B,A,A,B,A,A,B,A,A,A,B,B,B,B,A,B,A,A,A,B,A,A,A,A,A,A,B,B,A,B,B
P39.M50.180,1B,234.4283,-,A,B,A,A,A,B,A,B,A,A,B,A,B,B,B,B,A,A,A,A,A,B,A,B,B,A,A,A,B,B,B,B,A,B,B,A,B,A,A,A,B,A,B,A,B,B,A,B,A,B,B,A,A,A,A,B,B,A,B,B,B,A,A,B,A,A,A,B,B,A,B,B,B,B,B,B,A,A,A,A,B,B,B,A,A,B,B,A,B,B,B,-
wPt.6802,1B,241.0168,B,A,B,A,A,A,B,A,B,-,B,B,A,B,-,B,B,A,A,A,A,A,B,-,B,B,A,-,A,-,B,B,B,A,B,B,A,B,A,-,A,B,A,B,A,B,-,A,B,A,B,B,A,A,A,B,B,B,A,B,B,A,A,-,B,A,A,A,B,A,A,B,B,B,B,B,B,A,A,A,A,B,B,B,A,-,B,B,A,B,A,-,-
wPt.1770,1B,242.3682,B,A,B,A,A,A,B,A,B,A,B,B,A,B,-,B,B,A,A,A,A,A,-,-,B,B,A,A,-,B,B,B,B,A,B,B,A,B,A,A,A,B,A,-,A,B,A,A,B,A,B,B,A,A,A,B,B,-,A,B,B,B,A,A,B,A,A,-,B,A,-,B,B,B,B,B,B,A,A,A,A,B,B,B,A,A,B,B,A,B,-,B,-
P44.M54.74,1B,266.7189,B,B,A,A,A,A,B,B,B,A,B,B,A,B,B,B,B,A,A,A,A,A,B,A,B,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,B,B,A,A,B,A,A,B,A,B,B,A,A,B,B,B,B,B,B,B,A,B,A,B,A,A,B,B,A,A,B,A,B,B,B,B,A,B,A,A,B,B,B,A,A,A,B,A,B,A,B,B
P39.M50.114,1B,273.707,B,B,A,A,A,A,B,B,B,A,B,A,A,B,B,B,B,A,A,A,A,A,B,A,B,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,B,B,A,A,A,B,A,B,A,B,B,A,A,B,B,B,A,B,B,B,A,A,A,B,A,A,B,B,A,A,B,A,B,B,B,B,A,B,A,A,B,B,B,A,A,A,B,A,A,A,B,-
P37.M50.94,1B,273.707,B,B,A,A,A,A,B,B,B,A,B,A,A,B,B,B,B,A,A,A,A,A,B,A,B,A,A,A,A,B,B,B,B,A,A,B,B,A,B,A,A,B,B,A,-,A,B,A,B,A,B,B,A,A,B,B,B,A,B,B,B,A,A,A,B,A,A,B,B,A,A,B,A,-,B,B,B,A,B,A,A,B,B,B,A,A,A,B,A,A,A,B,-
wPt.4290,1B,278.7112,B,B,-,-,A,B,B,B,-,-,B,A,A,B,B,B,B,A,A,A,A,A,B,A,B,A,A,A,A,B,B,B,-,A,A,B,B,A,B,A,A,B,B,A,A,A,B,A,B,A,B,B,A,A,B,B,B,A,B,B,B,A,-,A,B,A,A,B,B,A,B,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,A,A,A,A,-
wPt.4863,1B,278.7112,B,B,B,B,A,B,B,B,B,-,B,A,-,B,B,B,B,A,A,A,A,A,B,A,B,A,A,A,A,B,B,B,B,A,A,B,B,A,-,A,A,B,B,A,A,A,B,A,B,A,B,B,A,A,-,B,B,A,B,B,B,A,B,A,-,A,A,B,B,A,B,B,A,B,B,B,B,A,B,A,B,B,B,B,A,A,A,B,A,A,A,A,-
